Duration,Calories
60,409.1
60,479
60,340
45,282.4
45,406
60,300
60,374
45,253.3
30,195.1
60,269
60,329.3
60,250.7
60,345.3
60,379.3
60,275
60,215.2
60,300
45,
60,323
45,243
60,364.2
45,282
60,300
45,246
60,334.5
60,250
60,241
60,
60,280
60,380.3
60,243
45,180.1
60,299
60,223
60,361
60,415
60,300
60,300
60,300
45,266
45,180.1
60,286
60,329.4
60,400
60,397
60,273
60,387.6
45,300
45,298
60,397.6
60,380.2
80,643.1
60,263
60,486
30,238
60,450.7
60,413
45,305
20,226.4
45,321
210,1376
160,1034.4
160,853
45,341
20,131.4
180,800.4
150,873.4
150,816
20,110.4
300,1500.2
150,1115
60,387.6
90,700
150,953.2
45,304
90,563.2
45,251
45,300
120,500.4
270,1729
30,319.2
45,344
30,151.1
120,500
45,225.3
30,300
45,234
120,1000.1
45,242
20,50.3
180,600.1
45,
30,105.3
15,50.5
20,127.4
20,229.4
30,128.2
25,244.2
30,188.2
90,604.1
20,77.7
90,500
90,500
90,500.4
30,92.7
30,124
180,800.3
30,86.2
90,500.3
210,1860.4
60,325.2
45,275
15,124.2
45,225.3
60,367.6
60,351.7
60,443
60,277.4
60,
60,332.7
30,193.9
45,100.7
60,336.7
60,344.9
60,368.5
60,271
60,275.3
60,382
90,466.4
60,384
60,342.5
60,357.5
60,335
60,327.5
60,339
20,189
45,317.7
45,318
45,308
20,222.4
60,390
60,
45,250.4
45,335.4
60,470.2
45,270.8
60,400
60,361.9
30,185
60,409.4
60,343
60,353.2
60,374
30,275.8
60,328
60,368.5
60,270.4
60,270.4
60,382.8
30,240.9
30,250.4
45,260.4
45,270
45,280.9
60,290.8
60,300
60,310.2
75,320.4
75,330.4
